291|HistoryData|Parameter|kvarh lag imp|kvarh_lag_imp|||
292|HistoryData|Parameter|kvarh lead exp|kvarh_lead_exp|||
293|HistoryData|Parameter|kvarh lead imp|kvarh_lead_imp|||
294|HistoryData|Parameter|kvah imp|kvah_imp|||
295|HistoryData|Parameter|kvah exp|kvah_exp|||
296|HistoryData|Parameter|avg hz|avg_hz|||
297|HistoryData|Parameter|avg mw|avg_mw|||
298|HistoryData|Parameter|i r|ir|||
299|HistoryData|Parameter|i y|iy|||
300|HistoryData|Parameter|i b|ib|||
301|Global|Single|Single|Three|||
302|HistoryData|Parameter|v rn|vrn|||
303|HistoryData|Parameter|v ry|vry|||
304|HistoryData|Parameter|v yb|vyb|||
305|Global|Phase|Phase|Three|\ |\ |
306|MDAS|MstTariff.trfschemename|Required|Y|Please Enter Tariff Scheme Name||
307|RepoterQueryList|Parameter|kwh_imp_read|kwh_imp-evt_kwh_imp_read|\ |\ |
308|RepoterQueryList|Parameter|kwh_imp_con|kwh_imp-evt_kwh_imp_con|\ |\ |
309|RepoterQueryList|Parameter|kwh_exp_read|kwh_exp-evt_kwh_exp_read|\ |\ |
310|RepoterQueryList|Parameter|kwh_exp_con|kwh_exp-evt_kwh_exp_con|\ |\ |
311|ConsumptionType|ConsumptionType|Kwh_Imp|Kwh_Imp|\ |\ |
312|ConsumptionType|ConsumptionType|Kwh_Exp|Kwh_Exp|\ |\ |
313|GroupDisplay|Parameter|I|i-loadsurveylogs|\ |\ |
314|GroupDisplay|Parameter|IR|ir-loadsurveylogs|\ |\ |
315|GroupDisplay|Parameter|IB|ib-loadsurveylogs|\ |\ |
316|GroupDisplay|Parameter|IY|iy-loadsurveylogs|\ |\ |
317|GroupDisplay|Parameter|KW|kw-loadsurveylogs|\ |\ |
318|GroupDisplay|Parameter|KVA|kva-loadsurveylogs|\ |\ |
319|GroupDisplay|Parameter|HZ|hz-loadsurveylogs|\ |\ |
320|GroupDisplay|Parameter|VBN|vbn-loadsurveylogs|\ |\ |
321|GroupDisplay|Parameter|VLN|vln-loadsurveylogs|\ |\ |
322|GroupDisplay|Parameter|VLL|vll-loadsurveylogs|\ |\ |
